City,Locality,Size_sqft,Property_Type,Age_years,Distance_to_metro_km,Amenities_score,Price_per_sqft,Total_Price_Cr,Estimated_Monthly_Rent
Hyderabad,Madhapur,3500,Apartment,3,3.82,8,23000,8.05,234791
Hyderabad,Madhapur,2500,Villa,7,5.93,7,21500,5.38,156770
Hyderabad,Madhapur,2500,Villa,12,9.62,10,22500,5.62,164062
Hyderabad,Madhapur,1000,Villa,10,1.74,7,9500,0.95,27708
Hyderabad,Madhapur,3500,Villa,8,9.97,6,30500,10.68,311354
Hyderabad,Madhapur,3500,Apartment,15,5.17,5,17500,6.12,178645
Hyderabad,Madhapur,1000,Villa,2,7.57,5,12000,1.2,35000
Hyderabad,Madhapur,2200,Apartment,25,2.34,9,10000,2.2,64166
Hyderabad,Madhapur,900,Villa,18,2.15,10,8000,0.72,21000
Hyderabad,Madhapur,1200,Villa,13,0.65,10,13500,1.62,47250
Hyderabad,Madhapur,2500,Apartment,23,0.94,7,11000,2.75,80208
Hyderabad,Madhapur,3000,Villa,9,7.82,5,29500,8.85,258125
Hyderabad,Madhapur,3000,Apartment,16,4.58,6,12500,3.75,109375
Hyderabad,Madhapur,3500,Apartment,15,4.19,5,17000,5.95,173541
Hyderabad,Madhapur,2200,Villa,17,2.06,5,18000,3.96,115500
Hyderabad,Madhapur,1800,Apartment,18,8.66,8,10000,1.8,52500
Hyderabad,Madhapur,3000,Apartment,24,2.93,9,14000,4.2,122500
Hyderabad,Madhapur,3500,Villa,22,6.55,5,23000,8.05,234791
Hyderabad,Madhapur,1500,Villa,8,1.81,7,15000,2.25,65625
Hyderabad,Madhapur,2200,Apartment,0,7.24,6,16000,3.52,102666
Hyderabad,Madhapur,3000,Villa,21,2.45,5,21000,6.3,183750
Hyderabad,Madhapur,1350,Apartment,23,2.54,5,7000,0.94,27562
Hyderabad,Madhapur,3000,Villa,6,2.03,8,27500,8.25,240625
Hyderabad,Madhapur,2500,Apartment,10,6.63,7,15000,3.75,109375
Hyderabad,Madhapur,2000,Villa,23,2.66,9,14000,2.8,81666
Hyderabad,Madhapur,3000,Apartment,2,7.31,6,21000,6.3,183750
Hyderabad,Madhapur,1350,Apartment,24,4.15,10,7000,0.94,27562
Hyderabad,Madhapur,1000,Villa,8,6.78,10,10000,1.0,29166
Hyderabad,Madhapur,2500,Villa,15,8.99,8,19000,4.75,138541
Hyderabad,Madhapur,1800,Apartment,6,0.43,7,11000,1.98,57750
Hyderabad,Madhapur,2500,Villa,3,8.96,10,28500,7.12,207812
Hyderabad,Madhapur,3500,Villa,18,8.23,9,23000,8.05,234791
Hyderabad,Madhapur,3500,Apartment,9,3.98,6,19500,6.83,199062
Hyderabad,Madhapur,2200,Apartment,19,6.03,5,12500,2.75,80208
Hyderabad,Madhapur,1500,Apartment,9,4.27,6,9000,1.35,39375
Hyderabad,Madhapur,1800,Villa,9,5.65,5,15000,2.7,78750
Hyderabad,Madhapur,750,Villa,15,9.5,6,7000,0.53,15312
Hyderabad,Madhapur,1200,Apartment,12,7.71,9,8500,1.02,29750
Hyderabad,Madhapur,3000,Villa,21,8.06,5,21000,6.3,183750
Hyderabad,Madhapur,2200,Apartment,23,4.42,8,12500,2.75,80208
Hyderabad,Madhapur,750,Apartment,14,2.8,7,5500,0.41,12031
Hyderabad,Madhapur,3000,Villa,13,1.65,10,22000,6.6,192500
Hyderabad,Madhapur,3500,Villa,13,2.94,5,28500,9.97,290937
Hyderabad,Madhapur,2500,Villa,0,0.48,6,23000,5.75,167708
Hyderabad,Madhapur,3000,Villa,14,5.68,5,25500,7.65,223125
Hyderabad,Madhapur,2500,Apartment,3,6.62,8,16500,4.12,120312
Hyderabad,Madhapur,3000,Apartment,12,0.41,8,18000,5.4,157500
Hyderabad,Madhapur,2000,Villa,23,1.63,6,16000,3.2,93333
Hyderabad,Madhapur,2000,Apartment,24,6.75,5,11000,2.2,64166
Hyderabad,Madhapur,3000,Apartment,20,2.0,9,14500,4.35,126875
Hyderabad,Madhapur,3000,Villa,6,4.02,7,29500,8.85,258125
Hyderabad,Madhapur,3500,Apartment,4,5.33,5,22000,7.7,224583
Hyderabad,Madhapur,1350,Apartment,8,6.15,6,9500,1.28,37406
Hyderabad,Madhapur,3000,Apartment,4,2.68,6,17500,5.25,153125
Hyderabad,Madhapur,3500,Villa,15,3.75,9,25500,8.93,260312
Hyderabad,Madhapur,3000,Villa,14,7.27,10,25500,7.65,223125
Hyderabad,Madhapur,2000,Villa,4,4.92,5,17500,3.5,102083
Hyderabad,Madhapur,2500,Villa,14,6.74,7,21000,5.25,153125
Hyderabad,Madhapur,3000,Villa,1,2.38,9,30500,9.15,266875
Hyderabad,Madhapur,1000,Villa,9,0.6,8,11000,1.1,32083
Hyderabad,Madhapur,900,Villa,1,0.8,7,9500,0.85,24937
Hyderabad,Madhapur,1000,Apartment,20,5.11,9,5000,0.5,14583
Hyderabad,Madhapur,3000,Villa,16,7.78,8,25000,7.5,218750
Hyderabad,Madhapur,3000,Apartment,17,1.33,8,16000,4.8,140000
Hyderabad,Madhapur,3000,Apartment,20,5.11,7,14500,4.35,126875
Hyderabad,Madhapur,3000,Apartment,15,6.98,5,14500,4.35,126875
Hyderabad,Madhapur,2500,Villa,3,8.25,10,24500,6.12,178645
Hyderabad,Madhapur,1000,Apartment,16,8.05,5,6000,0.6,17500
Hyderabad,Madhapur,1800,Villa,22,6.03,8,14500,2.61,76125
Hyderabad,Madhapur,3000,Apartment,16,3.8,7,14500,4.35,126875
Hyderabad,Madhapur,2200,Villa,9,5.56,8,20000,4.4,128333
Hyderabad,Madhapur,2000,Apartment,21,8.77,10,11000,2.2,64166
Hyderabad,Madhapur,3500,Apartment,10,6.69,7,21500,7.53,219479
Hyderabad,Madhapur,1000,Villa,17,7.02,7,8500,0.85,24791
Hyderabad,Madhapur,1800,Apartment,23,5.05,7,9500,1.71,49875
Hyderabad,Madhapur,1000,Apartment,18,2.45,7,6500,0.65,18958
Hyderabad,Madhapur,2000,Villa,20,0.63,6,15500,3.1,90416
Hyderabad,Madhapur,3000,Apartment,22,7.06,7,14500,4.35,126875
Hyderabad,Madhapur,3000,Villa,12,9.72,6,24500,7.35,214375
Hyderabad,Madhapur,3500,Apartment,22,9.46,10,17500,6.12,178645
Hyderabad,Madhapur,3500,Villa,13,8.49,5,28000,9.8,285833
Hyderabad,Madhapur,2200,Apartment,9,3.4,6,12500,2.75,80208
Hyderabad,Madhapur,2000,Villa,24,1.47,6,14500,2.9,84583
Hyderabad,Madhapur,1500,Apartment,4,1.05,5,10000,1.5,43750
Hyderabad,Madhapur,2000,Apartment,25,7.33,9,10500,2.1,61250
Hyderabad,Madhapur,3000,Apartment,23,0.93,10,14500,4.35,126875
Hyderabad,Madhapur,2000,Apartment,24,7.97,9,8000,1.6,46666
Hyderabad,Madhapur,2200,Apartment,4,3.39,6,16500,3.63,105875
Hyderabad,Madhapur,3500,Apartment,24,6.27,10,16000,5.6,163333
Hyderabad,Madhapur,2500,Villa,1,2.56,7,27500,6.88,200520
Hyderabad,Madhapur,3500,Apartment,23,8.05,8,16000,5.6,163333
Hyderabad,Madhapur,3000,Villa,9,9.98,6,29000,8.7,253750
Hyderabad,Madhapur,3000,Villa,7,4.2,8,26000,7.8,227500
Hyderabad,Kondapur,1500,Villa,11,4.95,8,13500,2.02,59062
Hyderabad,Kondapur,1800,Villa,24,9.85,9,11500,2.07,60375
Hyderabad,Kondapur,3000,Apartment,13,7.75,6,13000,3.9,113750
Hyderabad,Kondapur,3000,Villa,4,7.45,5,22500,6.75,196875
Hyderabad,Kondapur,3500,Villa,15,2.62,9,24000,8.4,245000
Hyderabad,Kondapur,1200,Apartment,22,3.09,7,5500,0.66,19250
Hyderabad,Kondapur,1000,Apartment,24,3.17,7,4000,0.4,11666
Hyderabad,Kondapur,2500,Apartment,16,6.89,8,11000,2.75,80208
Hyderabad,Kondapur,1000,Villa,7,2.42,7,9500,0.95,27708
Hyderabad,Kondapur,750,Apartment,13,8.83,8,4500,0.34,9843
Hyderabad,Kondapur,3000,Apartment,11,9.46,8,19000,5.7,166250
Hyderabad,Kondapur,1000,Apartment,11,1.92,5,6000,0.6,17500
Hyderabad,Kondapur,2000,Villa,3,9.91,6,20500,4.1,119583
Hyderabad,Kondapur,1200,Villa,1,5.27,8,14000,1.68,49000
Hyderabad,Kondapur,3500,Villa,4,2.54,8,28500,9.97,290937
Hyderabad,Kondapur,3000,Apartment,0,2.11,5,18000,5.4,157500
Hyderabad,Kondapur,1800,Apartment,6,7.86,9,11000,1.98,57750
Hyderabad,Kondapur,3000,Villa,16,9.7,5,20500,6.15,179375
Hyderabad,Kondapur,1800,Villa,7,8.87,5,15500,2.79,81375
Hyderabad,Kondapur,900,Villa,7,7.65,10,8000,0.72,21000
Hyderabad,Kondapur,3500,Apartment,14,7.05,5,17500,6.12,178645
Hyderabad,Kondapur,2500,Apartment,19,2.48,10,11500,2.88,83854
Hyderabad,Kondapur,3000,Apartment,18,2.47,10,16500,4.95,144375
Hyderabad,Kondapur,1350,Villa,9,5.93,5,13000,1.75,51187
Hyderabad,Kondapur,3000,Apartment,11,1.19,9,15500,4.65,135625
Hyderabad,Kondapur,2500,Apartment,5,1.56,9,16000,4.0,116666
Hyderabad,Kondapur,2200,Apartment,2,8.92,8,15000,3.3,96250
Hyderabad,Kondapur,2500,Villa,1,5.64,7,25500,6.38,185937
Hyderabad,Kondapur,1800,Apartment,23,1.14,7,7000,1.26,36750
Hyderabad,Kondapur,1000,Apartment,11,2.82,10,5500,0.55,16041
Hyderabad,Kondapur,3500,Apartment,20,7.32,9,14000,4.9,142916
Hyderabad,Kondapur,2000,Apartment,4,2.44,7,12500,2.5,72916
Hyderabad,Kondapur,3000,Apartment,10,6.93,10,11500,3.45,100625
Hyderabad,Kondapur,2500,Villa,22,6.05,10,14500,3.62,105729
Hyderabad,Kondapur,1500,Apartment,25,8.3,5,7500,1.12,32812
Hyderabad,Kondapur,2500,Villa,1,5.79,6,21000,5.25,153125
Hyderabad,Kondapur,900,Apartment,25,2.89,5,4500,0.41,11812
Hyderabad,Kondapur,2000,Villa,9,6.69,9,17500,3.5,102083
Hyderabad,Kondapur,2500,Apartment,8,8.55,10,15000,3.75,109375
Hyderabad,Kondapur,1500,Villa,9,8.42,5,14000,2.1,61250
Hyderabad,Kondapur,3500,Villa,10,7.07,5,29000,10.15,296041
Hyderabad,Kondapur,2200,Villa,13,7.6,10,19000,4.18,121916
Hyderabad,Kondapur,2500,Villa,12,1.84,6,19000,4.75,138541
Hyderabad,Kondapur,2500,Villa,22,7.51,7,15000,3.75,109375
Hyderabad,Kondapur,3000,Apartment,8,1.86,10,17500,5.25,153125
Hyderabad,Kondapur,2500,Villa,2,5.22,9,23500,5.88,171354
Hyderabad,Kondapur,1500,Villa,17,0.36,7,12000,1.8,52500
Hyderabad,Kondapur,1200,Villa,2,9.82,10,11000,1.32,38500
Hyderabad,Kondapur,2000,Villa,9,6.43,9,18000,3.6,105000
Hyderabad,Kondapur,2500,Villa,5,5.54,7,19500,4.88,142187
Hyderabad,Kondapur,2500,Villa,1,7.86,9,24000,6.0,175000
Hyderabad,Kondapur,2500,Apartment,8,5.55,5,14000,3.5,102083
Hyderabad,Kondapur,3500,Villa,20,9.64,7,24000,8.4,245000
Hyderabad,Kondapur,3000,Apartment,25,9.34,5,10500,3.15,91875
Hyderabad,Kondapur,1350,Villa,19,1.29,5,10000,1.35,39375
Hyderabad,Kondapur,1200,Apartment,2,0.96,10,8500,1.02,29750
Hyderabad,Kondapur,2200,Villa,11,3.22,9,17000,3.74,109083
Hyderabad,Kondapur,900,Apartment,19,5.95,10,5000,0.45,13125
Hyderabad,Kondapur,2500,Villa,11,3.66,8,19000,4.75,138541
Hyderabad,Kondapur,1000,Apartment,18,8.75,9,5500,0.55,16041
Hyderabad,Kondapur,2200,Villa,12,9.74,10,18000,3.96,115500
Hyderabad,Kondapur,1800,Apartment,7,0.54,5,10500,1.89,55125
Hyderabad,Kondapur,1500,Villa,15,0.51,9,11500,1.73,50312
Hyderabad,Kondapur,1200,Villa,8,7.77,10,9500,1.14,33250
Hyderabad,Kondapur,2500,Villa,6,6.93,10,18500,4.62,134895
Hyderabad,Kondapur,2500,Apartment,6,9.97,6,14500,3.62,105729
Hyderabad,Kondapur,1000,Apartment,14,4.43,10,5500,0.55,16041
Hyderabad,Kondapur,2500,Villa,2,8.01,10,22500,5.62,164062
Hyderabad,Kondapur,2200,Apartment,22,7.03,9,10500,2.31,67375
Hyderabad,Kondapur,3000,Villa,9,2.95,6,26500,7.95,231875
Hyderabad,Kondapur,3500,Apartment,20,9.52,7,15000,5.25,153125
Hyderabad,Kondapur,3000,Apartment,7,9.45,6,15500,4.65,135625
Hyderabad,Kondapur,1200,Villa,7,4.37,5,10000,1.2,35000
Hyderabad,Kondapur,2200,Villa,17,2.96,8,18000,3.96,115500
Hyderabad,Kondapur,3000,Apartment,4,9.84,5,19000,5.7,166250
Hyderabad,Kondapur,2000,Villa,12,2.53,9,16000,3.2,93333
Hyderabad,Kondapur,2500,Villa,24,2.37,9,15000,3.75,109375
Hyderabad,Kondapur,1000,Villa,4,3.87,10,10000,1.0,29166
Hyderabad,Kondapur,1000,Villa,14,8.68,10,9000,0.9,26250
Hyderabad,Kondapur,3000,Apartment,11,2.1,9,16000,4.8,140000
Hyderabad,Kondapur,3500,Apartment,18,8.73,6,16500,5.78,168437
Hyderabad,Kondapur,2500,Apartment,16,8.49,5,13000,3.25,94791
Hyderabad,Kondapur,3000,Villa,4,7.68,6,24000,7.2,210000
Hyderabad,Kondapur,1350,Apartment,10,0.62,7,8500,1.15,33468
Hyderabad,Kondapur,3000,Apartment,9,9.23,7,18000,5.4,157500
Hyderabad,Kondapur,1500,Villa,20,4.97,6,11000,1.65,48125
Hyderabad,Kondapur,3500,Apartment,9,1.44,9,19500,6.83,199062
Hyderabad,Kondapur,3500,Apartment,5,4.47,6,19000,6.65,193958
Hyderabad,Kondapur,3500,Villa,19,2.25,9,21000,7.35,214375
Hyderabad,Kondapur,900,Apartment,0,5.95,5,7000,0.63,18375
Hyderabad,Kondapur,3500,Villa,24,2.91,10,19000,6.65,193958
Hyderabad,Kondapur,1500,Villa,24,4.72,9,10500,1.57,45937
Hyderabad,Kondapur,3500,Villa,0,0.41,10,31000,10.85,316458
Hyderabad,Kondapur,3000,Villa,9,4.96,8,22500,6.75,196875
Hyderabad,Kondapur,1800,Villa,25,6.12,7,12000,2.16,63000
Hyderabad,Kondapur,2500,Apartment,2,8.64,6,14500,3.62,105729
Hyderabad,Kondapur,2500,Villa,13,7.86,8,19000,4.75,138541
Hyderabad,Kondapur,1500,Apartment,10,1.32,7,8500,1.27,37187
Hyderabad,Kondapur,2000,Villa,23,2.65,8,15500,3.1,90416
Hyderabad,Kondapur,1200,Villa,24,7.11,9,8000,0.96,28000
Hyderabad,Kondapur,3000,Villa,3,5.73,6,24500,7.35,214375
Hyderabad,Kondapur,2500,Villa,3,3.7,8,22500,5.62,164062
Hyderabad,Kondapur,1800,Apartment,4,0.62,5,11500,2.07,60375
Hyderabad,Kondapur,1800,Villa,12,1.59,6,14000,2.52,73500
Hyderabad,Kondapur,1350,Villa,10,5.81,6,13000,1.75,51187
Hyderabad,Kondapur,1350,Villa,15,2.24,8,11500,1.55,45281
Hyderabad,Kondapur,2000,Apartment,15,1.92,5,10500,2.1,61250
Hyderabad,Kondapur,2200,Villa,16,7.15,6,15000,3.3,96250
Hyderabad,Kondapur,1500,Villa,18,0.61,5,13000,1.95,56875
Hyderabad,Kondapur,900,Villa,9,8.75,9,9000,0.81,23625
Hyderabad,Kondapur,3500,Villa,21,7.23,7,20500,7.17,209270
Hyderabad,Kondapur,3000,Apartment,0,8.2,8,20500,6.15,179375
Hyderabad,Kondapur,1200,Villa,8,1.08,8,11000,1.32,38500
Hyderabad,Kondapur,2200,Villa,1,8.23,5,22500,4.95,144375
Hyderabad,Kondapur,3000,Apartment,17,4.69,7,14500,4.35,126875
Hyderabad,Kondapur,3000,Apartment,9,7.4,8,19500,5.85,170625
Hyderabad,Kondapur,3000,Villa,14,1.09,9,20000,6.0,175000
Hyderabad,Kondapur,3500,Apartment,19,7.96,6,15000,5.25,153125
Hyderabad,Kondapur,1000,Villa,12,6.69,7,11000,1.1,32083
Hyderabad,Kondapur,3000,Apartment,11,7.28,6,16000,4.8,140000
Hyderabad,Kondapur,3000,Villa,16,2.52,9,19000,5.7,166250
Hyderabad,Kondapur,900,Apartment,1,6.9,6,7000,0.63,18375
Hyderabad,Kondapur,2000,Villa,25,1.0,9,13500,2.7,78750
Hyderabad,Kondapur,2500,Apartment,4,7.35,7,15000,3.75,109375
Hyderabad,Kondapur,3000,Apartment,10,7.5,8,14000,4.2,122500
Hyderabad,Kondapur,3000,Villa,23,3.9,9,17000,5.1,148750
Hyderabad,Kondapur,2000,Villa,16,9.88,10,13000,2.6,75833
Hyderabad,Kondapur,3000,Villa,9,7.33,5,27500,8.25,240625
Hyderabad,Kondapur,2200,Apartment,10,5.02,8,11000,2.42,70583
Hyderabad,Kondapur,3000,Apartment,9,6.05,9,15500,4.65,135625
Hyderabad,Kondapur,2500,Apartment,8,9.15,10,15000,3.75,109375
Hyderabad,Kondapur,900,Villa,18,6.43,6,6500,0.58,17062
Hyderabad,Kondapur,3000,Villa,20,7.41,6,20000,6.0,175000
Hyderabad,Kondapur,3500,Apartment,7,9.12,9,18500,6.47,188854
Hyderabad,Kondapur,3500,Apartment,3,2.04,5,21000,7.35,214375
Hyderabad,Kondapur,2500,Villa,10,5.08,6,19500,4.88,142187
Hyderabad,Kondapur,2500,Apartment,22,2.7,8,11000,2.75,80208
Hyderabad,Kondapur,3000,Villa,24,5.29,10,19000,5.7,166250
Hyderabad,Kondapur,1000,Apartment,22,3.78,9,4500,0.45,13125
Hyderabad,Kondapur,1500,Villa,17,4.09,10,11500,1.73,50312
Hyderabad,Kondapur,2500,Villa,16,9.7,7,19000,4.75,138541
Hyderabad,Kondapur,1350,Villa,14,3.45,9,10000,1.35,39375
Hyderabad,Kondapur,2200,Villa,21,7.8,9,12500,2.75,80208
Hyderabad,Kondapur,2500,Apartment,6,1.01,7,14500,3.62,105729
Hyderabad,Kondapur,3000,Apartment,9,1.95,7,13500,4.05,118125
Hyderabad,Kondapur,1800,Apartment,22,8.34,10,8500,1.53,44625
Hyderabad,Kondapur,3500,Villa,15,4.48,8,25500,8.93,260312
Hyderabad,Kondapur,2200,Villa,17,7.16,7,14000,3.08,89833
Hyderabad,Kondapur,1200,Villa,18,1.92,8,10000,1.2,35000
Hyderabad,Kondapur,2200,Apartment,24,4.9,7,10500,2.31,67375
Hyderabad,Kukatpally,900,Apartment,9,8.49,7,5000,0.45,13125
Hyderabad,Kukatpally,2500,Villa,20,8.72,10,15000,3.75,109375
Hyderabad,Kukatpally,2500,Apartment,6,2.3,9,12000,3.0,87500
Hyderabad,Kukatpally,1800,Villa,17,0.85,6,10500,1.89,55125
Hyderabad,Kukatpally,1200,Apartment,19,5.45,6,5000,0.6,17500
Hyderabad,Kukatpally,900,Apartment,21,9.36,10,3500,0.32,9187
Hyderabad,Kukatpally,1800,Apartment,1,3.37,8,9500,1.71,49875
Hyderabad,Kukatpally,2000,Villa,22,1.74,5,11000,2.2,64166
Hyderabad,Kukatpally,3500,Apartment,24,9.87,5,11500,4.03,117395
Hyderabad,Kukatpally,3000,Villa,5,8.72,10,22000,6.6,192500
Hyderabad,Kukatpally,2500,Apartment,15,4.71,7,8500,2.12,61979
Hyderabad,Kukatpally,2000,Apartment,9,6.77,5,12000,2.4,70000
Hyderabad,Kukatpally,3500,Apartment,18,1.65,9,12000,4.2,122500
Hyderabad,Kukatpally,900,Villa,5,6.83,6,8000,0.72,21000
Hyderabad,Kukatpally,900,Villa,12,9.71,6,7000,0.63,18375
Hyderabad,Kukatpally,1800,Apartment,1,4.6,7,9500,1.71,49875
Hyderabad,Kukatpally,3000,Apartment,19,8.72,7,11500,3.45,100625
Hyderabad,Kukatpally,1800,Villa,14,8.43,6,11000,1.98,57750
Hyderabad,Kukatpally,3000,Villa,14,9.46,6,18000,5.4,157500
Hyderabad,Kukatpally,1200,Apartment,10,6.29,10,7000,0.84,24500
Hyderabad,Kukatpally,2500,Villa,20,8.73,10,13000,3.25,94791
Hyderabad,Kukatpally,1500,Villa,0,9.33,7,12500,1.88,54687
Hyderabad,Kukatpally,3000,Apartment,21,6.99,6,10000,3.0,87500
Hyderabad,Kukatpally,3000,Villa,20,6.69,8,17000,5.1,148750
Hyderabad,Kukatpally,3000,Apartment,10,4.12,8,12500,3.75,109375
Hyderabad,Kukatpally,3500,Apartment,3,6.68,6,17500,6.12,178645
Hyderabad,Kukatpally,2500,Apartment,10,9.99,5,12500,3.12,91145
Hyderabad,Kukatpally,1800,Apartment,12,7.89,8,8000,1.44,42000
Hyderabad,Kukatpally,1800,Villa,10,5.8,9,13000,2.34,68250
Hyderabad,Kukatpally,3000,Villa,0,4.22,10,23500,7.05,205625
Hyderabad,Kukatpally,2200,Apartment,22,3.47,5,9000,1.98,57750
Hyderabad,Kukatpally,3500,Villa,3,7.69,7,26000,9.1,265416
Hyderabad,Kukatpally,1350,Villa,12,8.04,10,10500,1.42,41343
Hyderabad,Kukatpally,1200,Villa,20,1.47,7,7000,0.84,24500
Hyderabad,Kukatpally,3000,Apartment,7,5.58,6,12500,3.75,109375
Hyderabad,Kukatpally,2500,Villa,4,7.05,10,16000,4.0,116666
Hyderabad,Kukatpally,3000,Villa,11,4.07,10,16500,4.95,144375
Hyderabad,Kukatpally,3000,Apartment,15,3.92,6,12000,3.6,105000
Hyderabad,Kukatpally,3500,Apartment,24,2.5,9,11500,4.03,117395
Hyderabad,Kukatpally,2500,Villa,16,6.78,5,14000,3.5,102083
Hyderabad,Kukatpally,3000,Apartment,3,6.31,9,12500,3.75,109375
Hyderabad,Kukatpally,3000,Apartment,6,8.67,6,13500,4.05,118125
Hyderabad,Kukatpally,2000,Villa,16,5.34,5,12000,2.4,70000
Hyderabad,Kukatpally,3500,Villa,6,3.61,5,23500,8.22,239895
Hyderabad,Kukatpally,3000,Apartment,14,3.99,8,14000,4.2,122500
Hyderabad,Kukatpally,1200,Villa,16,5.48,8,7000,0.84,24500
Hyderabad,Kukatpally,3000,Villa,1,6.2,10,23500,7.05,205625
Hyderabad,Kukatpally,2000,Apartment,23,7.27,8,7500,1.5,43750
Hyderabad,Kukatpally,1800,Apartment,0,9.57,9,10000,1.8,52500
Hyderabad,Kukatpally,1000,Villa,1,9.29,7,9000,0.9,26250
Hyderabad,Kukatpally,3500,Apartment,2,0.88,5,17000,5.95,173541
Hyderabad,Kukatpally,2500,Villa,1,1.28,8,20000,5.0,145833
Hyderabad,Kukatpally,1500,Apartment,24,5.01,10,5000,0.75,21875
Hyderabad,Kukatpally,3500,Villa,13,3.28,8,19500,6.83,199062
Hyderabad,Kukatpally,2500,Villa,12,8.09,5,13500,3.38,98437
Hyderabad,Kukatpally,3500,Apartment,21,6.22,10,12500,4.38,127604
Hyderabad,Kukatpally,2200,Apartment,3,7.25,9,11000,2.42,70583
Hyderabad,Kukatpally,2200,Apartment,16,1.48,10,8000,1.76,51333
Hyderabad,Kukatpally,1500,Apartment,0,2.06,7,8000,1.2,35000
Hyderabad,Kukatpally,2500,Villa,21,5.39,9,14000,3.5,102083
Hyderabad,Kukatpally,2200,Apartment,7,7.18,8,11000,2.42,70583
Hyderabad,Kukatpally,2200,Villa,4,2.79,6,15000,3.3,96250
Hyderabad,Kukatpally,1200,Villa,1,9.64,9,11500,1.38,40250
Hyderabad,Kukatpally,750,Apartment,7,5.64,5,4500,0.34,9843
Hyderabad,Kukatpally,1200,Apartment,19,0.72,8,5500,0.66,19250
Hyderabad,Kukatpally,3000,Apartment,21,6.14,6,11000,3.3,96250
Hyderabad,Kukatpally,900,Villa,12,8.25,6,6500,0.58,17062
Hyderabad,Kukatpally,3000,Apartment,6,2.36,6,15000,4.5,131250
Hyderabad,Kukatpally,3000,Apartment,9,6.23,10,15000,4.5,131250
Hyderabad,Kukatpally,3000,Villa,10,9.03,6,19000,5.7,166250
Hyderabad,Kukatpally,2000,Apartment,4,3.73,8,11000,2.2,64166
Hyderabad,Kukatpally,2000,Apartment,8,2.97,9,9000,1.8,52500
Hyderabad,Kukatpally,3000,Apartment,23,8.28,10,12000,3.6,105000
Hyderabad,Kukatpally,3500,Villa,13,1.23,5,19500,6.83,199062
Hyderabad,Kukatpally,2200,Villa,20,6.35,9,14500,3.19,93041
Hyderabad,Kukatpally,2000,Villa,22,1.93,8,9500,1.9,55416
Hyderabad,Kukatpally,1350,Villa,9,7.45,6,9500,1.28,37406
Hyderabad,Kukatpally,3000,Apartment,15,1.23,6,12500,3.75,109375
Hyderabad,Kukatpally,2000,Apartment,22,0.53,8,8000,1.6,46666
Hyderabad,Kukatpally,900,Villa,17,5.6,8,7000,0.63,18375
Hyderabad,Kukatpally,3000,Apartment,16,2.55,8,13500,4.05,118125
Hyderabad,Kukatpally,1800,Apartment,8,5.12,7,7500,1.35,39375
Hyderabad,Kukatpally,3500,Villa,2,9.88,7,26000,9.1,265416
Hyderabad,Kukatpally,1000,Apartment,17,4.22,5,4500,0.45,13125
Hyderabad,Kukatpally,1800,Apartment,12,4.45,5,9000,1.62,47250
Hyderabad,Kukatpally,1500,Apartment,25,9.92,8,6000,0.9,26250
Hyderabad,Kukatpally,1500,Villa,10,1.55,5,11000,1.65,48125
Hyderabad,Kukatpally,1500,Apartment,6,5.91,10,7500,1.12,32812
Hyderabad,Kukatpally,2500,Apartment,7,2.96,8,11000,2.75,80208
Hyderabad,Kukatpally,1800,Villa,17,3.74,7,10500,1.89,55125
Hyderabad,Kukatpally,2200,Villa,14,0.97,7,13000,2.86,83416
Hyderabad,Kukatpally,1800,Villa,11,8.06,8,12500,2.25,65625
Hyderabad,Kukatpally,1200,Villa,25,2.57,7,7000,0.84,24500
Hyderabad,Kukatpally,1500,Villa,11,6.61,8,10500,1.57,45937
Hyderabad,Kukatpally,900,Apartment,18,5.47,10,3500,0.32,9187
Hyderabad,Kukatpally,1350,Villa,0,6.79,9,10500,1.42,41343
Hyderabad,Kukatpally,3000,Villa,18,9.94,7,17500,5.25,153125
Hyderabad,Kukatpally,1350,Villa,6,7.39,6,12000,1.62,47250
Hyderabad,Kukatpally,2200,Apartment,18,4.81,8,9000,1.98,57750
Hyderabad,Kukatpally,3000,Villa,20,9.59,7,15000,4.5,131250
Hyderabad,Kukatpally,2500,Villa,23,2.0,8,12000,3.0,87500
Hyderabad,Kukatpally,1350,Villa,23,5.5,6,8000,1.08,31500
Hyderabad,Kukatpally,1200,Villa,23,1.24,6,7500,0.9,26250
Hyderabad,Kukatpally,3000,Apartment,20,3.67,9,10500,3.15,91875
Hyderabad,Kukatpally,900,Apartment,2,6.75,5,5000,0.45,13125
Hyderabad,Kukatpally,2500,Apartment,4,1.78,5,11000,2.75,80208
Hyderabad,Kukatpally,3500,Apartment,4,9.93,6,17000,5.95,173541
Hyderabad,Kukatpally,3000,Villa,14,8.47,5,19000,5.7,166250
Hyderabad,Kukatpally,3000,Villa,20,5.35,10,15000,4.5,131250
Hyderabad,Kukatpally,2500,Apartment,0,7.63,9,13500,3.38,98437
Hyderabad,Kukatpally,3000,Apartment,13,1.54,5,13000,3.9,113750
Hyderabad,Kukatpally,3000,Villa,23,7.17,9,15500,4.65,135625
Hyderabad,Kukatpally,1800,Villa,0,0.65,6,13500,2.43,70875
Hyderabad,Kukatpally,1200,Apartment,3,3.79,6,6500,0.78,22750
Hyderabad,Kukatpally,1500,Villa,19,1.15,7,9000,1.35,39375
Hyderabad,Kukatpally,1800,Villa,25,3.26,5,9500,1.71,49875
